id,title,stock,price,type_id,primaryProductId,image,url_key,categories,short_description,description,description_sin_stop_words,especificaciones_del_producto,especificaciones_del_producto_sin_stop_words,modo_de_uso,modo_de_uso_sin_stop_words,meta_title,meta_keyword,meta_description,category_names,marca,weight,acabado,beneficios,catquiz,clasificacion,cobertura,created_at,country_of_manufacture,color_family,color,cyber,descuento,formato,highlights,ingredientes,is_returnable,news,preocupacion,product_label,status,subcatquiz,tipo_de_piel,tipo_de_punta,tipo_esmalte,zona_de_aplicacion
II-35323,Shampoo Nutritivo Cabello Seco 400 ml,10,10990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35323_1.jpg,https://dbs.cl/ii-35323-shampoo-nutritivo-cabello-seco,Capilar > Shampoo,Shampoo para Cabello,"Limpia suavemente el cabello, restaurando la elasticidad y el brillo hasta del cabello más seco. Deja el cabello suave, desde las raíces hasta las puntas. Contiene extracto orgánico de Avena más un Phytocomplejo nutritivo (Aceite de Coco, Manteca de Illipé y Aceite de Almendras dulces).","Limpia suavemente cabello, restaurando elasticidad brillo cabello seco Deja cabello suave, raíces puntas Contiene extracto orgánico Avena Phytocomplejo nutritivo Aceite Coco, Manteca Illipé Aceite Almendras dulces",Contenido: 400 ml | Tamaño: 7.2 cm largo x 7.2 cm ancho x 16.2 cm alto,Contenido: 400 ml | Tamaño: 7 2 cm largo x 7 2 cm ancho x 16 2 cm alto,"Aplicar en el cabello húmedo, distribuyéndolo homogéneamente. Masajea el cabello y enjuágalo con abundante agua.","Aplicar cabello húmedo, distribuyéndolo homogéneamente Masajea cabello enjuágalo abundante agua",Shampoo Nutritivo Cabello Seco 400 Ml | dbs.cl,"Shampoo, Insight","Shampoo Insight Nutritivo para cabello seco, encuentralo en Dbs.cl y en las mejores tiendas del país...","Shampoo,Capilar,Insight,Shop,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Beauty Offers,Black Friday,Día 3",INSIGHT,400 ml,,"Hidratación,Brillo",,"Vegana,Cruelty Free",,2020-05-18 02:56:06,IT,,Blackest Black,No,,Crema,"Antiedad,Antioxidante,Vegano,Cruelty free",,,No,"Opacidad,Pérdida de elasticidad,Sequedad",,Habilitado,,,,,Cabello
,,,,,,,,Marcas > Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > 21 Días de belleza > Día 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO-02907,Set De Viaje Limpieza Profunda Clean Getaway,0,16990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/f/o/formula-10-fo-02907-2.jpg,https://dbs.cl/set-de-viaje-limpieza-profunda-clean-getaway-fo-02907,Skincare > Sets,Set de Limpieza Facial,"¡Todo lo que necesitas para tener la piel limpia mientras viajas con el Set de Viaje Limpieza Profunda Clean Getaway de Formula 10.0.6!Este set vegano y cruelty free es perfecto para viajar o para probar los 4 productos más vendidos de Formula 10.0.6. Productos más adecuados para piel grasa, pero todos los tipos de piel se beneficiarán de sus propiedades. Contiene 10 unidades de toallitas limpiadoras Keep Me Clean, una Espuma Limpiadora Best Face Forward 50ml, una Mascarilla de Limpieza Get Your Glow On 30ml y un Limpiador Exfoliante 2 en 1 So Totally Clean 60mlNo contiene parabenos ni gluten.","¡Todo necesitas tener piel limpia mientras viajas Set Viaje Limpieza Profunda Clean Getaway Formula 10 0 6! Este set vegano cruelty free perfecto viajar probar 4 productos vendidos Formula 10 0 6 Productos adecuados piel grasa, tipos piel beneficiarán",Contenido: Set 4 unidades | Tamaño: 15.2 cm largo x 6.1 cm ancho x 21.0 cm alto,Contenido: Set 4 unidades | Tamaño: 15 2 cm largo x 6 1 cm ancho x 21 0 cm alto,"Limpia tu rostro con tu limpiador favorito, ya sea en toallita, espuma o exfoliante. Luego, aplica la mascarilla para una limpieza más profunda e hidratación.","Limpia rostro limpiador favorito, toallita, espuma exfoliante Luego, aplica mascarilla limpieza profunda hidratación",Set de Viaje Limpieza Profunda Clean Getaway | dbs.cl,"Sets, Formula 10.0.06",Set De Viaje Limpieza Profunda,"Sets,Skincare,Formula 10.0.6,Shop,All Sets,Season,Skincare,Entre $15.000 y $25.000,Sets de Regalo,DBS,Hasta 30% dcto,CYBER,Beauty Offers,Regalos,Regalos,Regalos para Ella,Navidad",FORMULA 10.0.6,244.94,,,Skincare,Cruelty Free,,2020-05-18 02:56:11,US,,Nieve,No,,,"Antiedad,Antioxidante,Cruelty free",,,No,,,Habilitado,Sets,Todo tipo,,,Rostro
,,,,,,,,Marcas > Formula 10.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
